 Vad gör du? Vem vill du bli? Vad är din hobby?
Vi	PRON	vi
har	VERB	ha
en	DET	en
stor	ADJ	stor
familj	NOUN	familj
.	PUNCT	.
Det	PRON	den
här	ADV	här
är	AUX	vara
min	PRON	jag
mamma	NOUN	mamma
Olena	ADJ	Olena
.	PUNCT	.
Hon	PRON	hon
arbetar	VERB	arbeta
i	ADP	i
butik	NOUN	butik
nästan	ADV	nästan
varje	DET	varje
dag	NOUN	dag
.	PUNCT	.
På	ADP	på
måndagar	NOUN	måndag
sjunger	VERB	sjunga
hon	PRON	hon
i	ADP	i
kör	NOUN	kör
.	PUNCT	.
Just	ADV	just
nu	ADV	nu
ligger	VERB	ligga
hon	PRON	hon
i	ADP	i
soffan	NOUN	soffan
.	PUNCT	.
Det	PRON	den
här	ADV	här
är	AUX	vara
min	PRON	jag
pappa	NOUN	pappa
Valentin	PROPN	Valentin
.	PUNCT	.
Han	PRON	han
kör	VERB	köra
taxi	NOUN	taxi
.	PUNCT	.
Han	PRON	han
gillar	VERB	gilla
att	PART	att
springa	VERB	springa
.	PUNCT	.
Just	ADV	just
nu	ADV	nu
tittar	VERB	titta
han	PRON	han
på	ADP	på
TV	NOUN	tv
.	PUNCT	.
Det	PRON	den
här	ADV	här
är	AUX	vara
min	PRON	jag
lillebror	NOUN	lillebror
Artem	PROPN	Artem
.	PUNCT	.
Han	PRON	han
går	VERB	gå
i	ADP	i
skolan	NOUN	skola
och	CCONJ	och
tränar	NOUN	trän
taekwondo	NOUN	taekwondo
på	ADP	på
tisdagar	NOUN	tisdag
och	CCONJ	och
torsdagar	NOUN	torsdag
.	PUNCT	.
Han	PRON	han
vill	AUX	vilja
bli	VERB	bli
läkare	NOUN	läkare
.	PUNCT	.
Just	ADV	just
nu	ADV	nu
spelar	VERB	spela
han	PRON	han
på	ADP	på
dator	NOUN	dator
.	PUNCT	.
Det	PRON	den
här	ADV	här
är	AUX	vara
min	PRON	jag
lilla	ADJ	liten
syster	NOUN	syster
Natalia	NOUN	Natalia
.	PUNCT	.
Hon	PRON	hon
studerar	VERB	studera
på	ADP	på
gymnasiet	NOUN	gymnasium
.	PUNCT	.
Hon	PRON	hon
vill	AUX	vilja
bli	VERB	bli
lärare	NOUN	lärare
.	PUNCT	.
Hon	PRON	hon
spelar	VERB	spela
gitarr	ADV	gitarr
.	PUNCT	.
På	ADP	på
onsdagar	NOUN	onsdag
kommer	VERB	komma
hennes	PRON	hon
kompisar	NOUN	kompis
och	CCONJ	och
spelar	VERB	spela
musik	NOUN	musik
.	PUNCT	.
Just	ADV	just
nu	ADV	nu
pratar	VERB	prata
hon	PRON	hon
i	ADP	i
telefon	NOUN	telefon
.	PUNCT	.
Min	PRON	Min
mormor	NOUN	mormor
Galina	PROPN	Galina
bor	VERB	bo
med	ADP	med
oss	PRON	vi
.	PUNCT	.
Hon	PRON	hon
lagar	VERB	laga
jättegod	ADJ	jättegod
mat	NOUN	mat
.	PUNCT	.
Just	ADV	just
nu	ADV	nu
sover	VERB	sova
hon	PRON	hon
.	PUNCT	.
Min	PRON	Min
morfar	NOUN	morfar
Nikolai	PROPN	Nikolai
bor	VERB	bo
också	ADV	också
med	ADP	med
oss	PRON	vi
.	PUNCT	.
Han	PRON	han
skriver	VERB	skriva
böcker	VERB	böck
för	ADP	för
barn	NOUN	barn
.	PUNCT	.
Jag	PRON	jag
hjälper	VERB	hjälpa
honom	PRON	han
med	ADP	med
bilder	NOUN	bild
.	PUNCT	.
Jag	PRON	jag
gillar	VERB	gilla
att	PART	att
rita	VERB	rita
.	PUNCT	.
Just	ADV	just
nu	ADV	nu
är	AUX	vara
morfar	VERB	morfa
ute	ADV	ute
och	CCONJ	och
promenerar	NOUN	promeneer
.	PUNCT	.
Jag	PRON	jag
studerar	VERB	studera
på	ADP	på
universitetet	NOUN	universitet
.	PUNCT	.
Jag	PRON	jag
vill	AUX	vilja
bli	VERB	bli
sjöingenjör	VERB	sjöingenjör
.	PUNCT	.
På	ADP	på
fredagar	NOUN	fredag
spelar	VERB	spela
jag	PRON	jag
fotboll	NOUN	fotboll
eller	CCONJ	eller
cyklar	NOUN	cykl
.	PUNCT	.
Vad	PRON	vad
gör	VERB	göra
du	PRON	du
?	PUNCT	?
Vem	PRON	vem
vill	AUX	vilja
du	PRON	du
bli	VERB	bli
?	PUNCT	?
Vad	PRON	vad
är	AUX	vara
din	PRON	du
hobby	NOUN	hobby
?	PUNCT	?
