Vad heter du?
-	PUNCT	-
Hej	INTJ	hej
!	PUNCT	!
Vad	PRON	vad
heter	VERB	heta
du	PRON	du
?	PUNCT	?
Jag	PRON	jag
heter	VERB	heta	är
Sven	PROPN	Sven
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Hej	INTJ	hej
!	PUNCT	!
Jag	PRON	jag
heter	VERB	heta	är
Oleksandr	PROPN	Oleksandr
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Hur	ADV	hur
stavar	VERB	stava	skriver
du	PRON	du	man
ditt	PRON	du
namn	NOUN	namn
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
o,l,e,k,s,a,n,d,r	LIST	o,l,e,k,s,a,n,d,r
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Tack	INTJ	tack
!	PUNCT	!
Jag	PRON	jag
kommer	VERB	komma	är
från	ADP	från
Sverige	PROPN	Sverige
.	PUNCT	.
Var	ADV	var
kommer	VERB	komma	är
du	PRON	du
ifrån	ADP	ifrån
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Jag	PRON	jag
kommer	VERB	komma	är
från	ADP	från
Ukraina	PROPN	Ukraina
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Vad	PRON	vad
trevligt	ADJ	trevlig
!	PUNCT	!
Jag	PRON	jag
talar	VERB	tala	pratar
svenska	X	svenska
,	PUNCT	,
engelska	X	engelska
och	CCONJ	och
tyska	X	tyska
.	PUNCT	.
Vad	PRON	vad
talar	VERB	tala	pratar
du	PRON	du
för	ADP	för
språk	NOUN	språk
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Jag	PRON	jag
talar	VERB	tala	pratar
ukrainska	X	ukrainska
,	PUNCT	,
ryska	X	ryska
och	CCONJ	och
lite	ADV	lite
engelska	X	engelska
.	PUNCT	.
Jag	PRON	jag
lär	VERB	lära
mig	PRON	jag
svenska	X	svenska
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Har	VERB	ha
du	PRON	du
telefon	NOUN	telefon	telefonnummer
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Ja	INTJ	ja
!	PUNCT	!
Mitt	PRON	Mitt
nummer	NOUN	nummer	telefonnummer
är	AUX	vara
012-45-67-89	ADJ	012-45-67-89
:	PUNCT	:
noll	NUM	noll
,	PUNCT	,
ett	NUM	en
,	PUNCT	,
två	NUM	två
,	PUNCT	,
fyra	NUM	fyra
,	PUNCT	,
fem	NUM	fem
,	PUNCT	,
sex	NUM	sex
sju	NUM	sju
,	PUNCT	,
åtta	NUM	åtta
,	PUNCT	,
nio	NUM	nio
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Bra	INTJ	Bra
,	PUNCT	,
tack	INJT	tack
!	PUNCT	!
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Har	VERB	ha
du	PRON	du
ett	DET	en
nummer	NOUN	nummer	telefon,telefonnummer
?	PUNCT	?
Kan	AUX	kunna
jag	PRON	jag
ha	VERB	ha
ditt	PRON	du
nummer	NOUN	nummer	telefonnummer
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Javisst	INTJ	javisst
!	PUNCT	!
Mitt	PRON	Mitt
nummer	NOUN	nummer	telefonnummer
är	AUX	vara
031-987-65-43	ADJ	031-987-65-43
:	PUNCT	:
noll	NUM	noll
,	PUNCT	,
tre	NUM	tre
,	PUNCT	,
ett	NUM	en
,	PUNCT	,
nio	NUM	nio
,	PUNCT	,
åtta	NUM	åtta
,	PUNCT	,
sju	NUM	sju
,	PUNCT	,
sex	NUM	sex
,	PUNCT	,
fem	NUM	fem
,	PUNCT	,
fyra	NUM	fyra
,	PUNCT	,
tre	NUM	tre
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Bra	INTJ	Bra
,	PUNCT	,
tack	INTJ	tack
!	PUNCT	!
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Ok	INTJ	ok
!	PUNCT	!
Jag	PRON	jag
ringer	VERB	ringa
dig	PRON	du
!	PUNCT	!
<br/><br/>	SPACE	<br/><br/>
-	PUNCT	-
Vi	PRON	vi
ses	VERB	se
!	PUNCT	!
