 Var bor du?
Okej	PROPN	Okej
allihopa	ADJ	allihopa
,	PUNCT	,
hej	NOUN	hej
och	CCONJ	och
välkommen	NOUN	välkomm
till	ADP	till
Lätt	ADJ	Lätt
Svenska	ADJ	Svenska
med	ADP	med
Oscar	PROPN	Oscar
.	PUNCT	.
Välkommen	NOUN	välkomm
!	PUNCT	!
Jag	PRON	jag
heter	VERB	heta
Oscar	PROPN	Oscar
.	PUNCT	.
Jag	PRON	jag
heter	VERB	heta
Oscar	PROPN	Oscar
.	PUNCT	.
 	SPACE	 
Vad	PRON	vad
heter	VERB	heta
du	PRON	du
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
Jurgen	NOUN	Jurg
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
Anna	PROPN	Anna
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
Johan	PROPN	Johan
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
Mohammed	ADP	Mohammed
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
Jane	PROPN	Jane
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
Christian	PROPN	Christian
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
…	PUNCT	…
eh	NOUN	eh
…	PUNCT	…
Maroko	NOUN	Maroko
?	PUNCT	?
Heter	VERB	Heter
du	PRON	du
Göran	PROPN	Göran
?	PUNCT	?
Hmmm	NOUN	hmmm
.	PUNCT	.
Jag	PRON	jag
heter	VERB	heta
Oscar	PROPN	Oscar
.	PUNCT	.
Välkommen	NOUN	välkomm
.	PUNCT	.
Idag	ADV	idag
ska	AUX	skola
vi	PRON	vi
prata	VERB	prata
om	ADP	om
var	ADV	vara
du	PRON	du
bor	VERB	bo
.	PUNCT	.
Var	ADV	var
bor	VERB	bo
du	PRON	du
?	PUNCT	?
Var	ADV	var
bor	VERB	bo
du	PRON	du
?	PUNCT	?
Jag	PRON	jag
bor	VERB	bo
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Bor	VERB	Bor
du	PRON	du
i	ADP	i
Japan	PROPN	Japan
?	PUNCT	?
Bor	VERB	Bor
du	PRON	du
i	ADP	i
Ryssland	PROPN	Ryssland
?	PUNCT	?
Bor	VERB	Bor
du	PRON	du
i	ADP	i
Tyskland	PROPN	Tyskland
?	PUNCT	?
Bor	VERB	Bor
du	PRON	du
i	ADP	i
England	PROPN	England
?	PUNCT	?
Bor	VERB	bor
du	PRON	du
i	ADP	i
Norge	PROPN	Norge
?	PUNCT	?
Hmmm	CCONJ	hmmm
…	PUNCT	…
Bor	VERB	Bor
du	PRON	du
i	ADP	i
Turkiet	PROPN	Turkiet
?	PUNCT	?
Var	ADV	var
bor	VERB	bo
du	PRON	du
?	PUNCT	?
Jag	PRON	jag
bor	VERB	bo
i	ADP	i
Sverige	PROPN	Sverige
i	ADP	i
en	DET	en
stad	NOUN	stad
som	PRON	som
heter	VERB	heta
Karlstad	PROPN	Karlstad
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
i	ADP	i
Karlstad	PROPN	Karlstad
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
inte	PART	inte
i	ADP	i
Stockholm	PROPN	Stockholm
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
i	ADP	i
Karlstad	PROPN	Karlstad
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
inte	PART	inte
i	ADP	i
Göteborg	PROPN	Göteborg
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
i	ADP	i
Karlstad	PROPN	Karlstad
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
inte	PART	inte
i	ADP	i
Tokyo	ADV	tokyo
i	ADP	i
Japan	PROPN	Japan
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
inte	PART	inte
i	ADP	i
Moskva	PROPN	Moskva
i	ADP	i
Ryssland	PROPN	Ryssland
,	PUNCT	,
haha	NOUN	haha
.	PUNCT	.
Jag	PRON	jag
bor	VERB	bo
i	ADP	i
Karlstad	PROPN	Karlstad
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Inte	PART	inte
så	ADV	så
svårt	ADJ	svår
.	PUNCT	.
Ganska	ADV	ganska
lätt	ADV	lätt
.	PUNCT	.
Var	ADV	var
bor	VERB	bo
du	PRON	du
?	PUNCT	?
Jag	PRON	jag
bor	VERB	bo
i	ADP	i
Karlstad	PROPN	Karlstad
i	ADP	i
Sverige	PROPN	Sverige
.	PUNCT	.
Okej	VERB	Okej
!	PUNCT	!
Det	PRON	den
blir	VERB	bli
korta	ADJ	kort
avsitt	VERB	avsitt
(	PUNCT	(
episode	NOUN	episode
-	PUNCT	-
avsnitt	NOUN	avsnitt
)	PUNCT	)
i	ADP	i
den	DET	en
här	ADV	här
podcasten	NOUN	podcast
