När går bussen?
Ihor	PROPN	Ihor
studerar	VERB	studera
svenska	X	svenska
vid	ADP	vid
en	DET	en
skola	NOUN	skola
på	ADP	på
Lindholmen	PROPN	Lindholmen
i	ADP	i
Göteborg	PROPN	Göteborg
.	PUNCT	.
Han	PRON	han
åker	VERB	åka
till	ADP	till
skolan	NOUN	skola
varje	DET	varje
dag	NOUN	dag
.	PUNCT	.
Lektionerna	NOUN	Lektion
startar	VERB	starta
klockan	NOUN	klocka
(	PUNCT	(
kl.	X	kl.
)	PUNCT	)
9.30	NUM	9.30
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
Varje	DET	varje
morgon	NOUN	morgon
måste	AUX	måste
Ihor	PROPN	Ihor
hinna	VERB	hinna
borsta	VERB	borsta
tänderna	NOUN	tand
,	PUNCT	,
äta	VERB	äta
frukost	NOUN	frukost
,	PUNCT	,
dricka	VERB	dricka
kaffe	NOUN	kaffe
,	PUNCT	,
klä	VERB	klä
på	ADP	på
sig	PRON	sig
och	CCONJ	och
packa	VERB	packa
väskan	NOUN	väska
.	PUNCT	.
Sedan	ADV	sedan
måste	AUX	måste
han	PRON	han
åka	VERB	åka
buss	NOUN	buss
från	ADP	från
Marklandsgatan	PROPN	Marklandsgata
till	ADP	till
Lindholmen	PROPN	Lindholmen
.	PUNCT	.
<br/><br/>	SPACE	<br/><br/>
Vilken	DET	vilken
tid	NOUN	tid
,	PUNCT	,
tror	VERB	tro
du	PRON	du
,	PUNCT	,
Ihor	PROPN	Ihor
vaknar	VERB	vakna
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
När	ADV	när
borstar	VERB	borsta
han	PRON	han
tänderna	NOUN	tand
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
När	ADV	när
äter	VERB	äta
han	PRON	han
frukost	NOUN	frukost
och	CCONJ	och
dricker	VERB	dricka
kaffe	NOUN	kaffe
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
När	ADV	när
går	VERB	gå
han	PRON	han
till	ADP	till
bussen	NOUN	buss
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
Vilken	DET	vilken
tid	NOUN	tid
går	VERB	gå
hans	PRON	han
buss	NOUN	buss
?	PUNCT	?
<br/><br/>	SPACE	<br/><br/>
När	ADV	när
kommer	VERB	komma
han	PRON	han
fram	ADV	fram
till	ADP	till
Lindholmen	PROPN	Lindholmen
?	PUNCT	?
